epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding
11662,81641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11663,81648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11664,81655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11665,81662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11666,81669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11667,81676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11668,81683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11669,81690,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11670,81697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11671,81704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11672,81711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11673,81718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11674,81725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11675,81732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11676,81739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11677,81746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11678,81753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11679,81760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11680,81767,1.0744369319581892e-05,100.0,1.0000107288360596,0.001,NaN,NaN,NaN,transformer,embedding
11681,81774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11682,81781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11683,81788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11684,81795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11685,81802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11686,81809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11687,81816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11688,81823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11689,81830,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11690,81837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11691,81844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11692,81851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11693,81858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11694,81865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11695,81872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11696,81879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11697,81886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11698,81893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11699,81900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11700,81907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11701,81914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11702,81921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11703,81928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11704,81935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11705,81942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11706,81949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11707,81956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11708,81963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11709,81970,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11710,81977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11711,81984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11712,81991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11713,81998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11714,82005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11715,82012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11716,82019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11717,82026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11718,82033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11719,82040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11720,82047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11721,82054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11722,82061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11723,82068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11724,82075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11725,82082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11726,82089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11727,82096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11728,82103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11729,82110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11730,82117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11731,82124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11732,82131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11733,82138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11734,82145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11735,82152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11736,82159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11737,82166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11738,82173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11739,82180,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11740,82187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11741,82194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11742,82201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11743,82208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11744,82215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11745,82222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11746,82229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11747,82236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11748,82243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11749,82250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11750,82257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11751,82264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
