epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding,k_value,total_param_l2_norm
26,216,0.46863168478012085,87.06163787841797,1.597806453704834,0.001,2.4766104221343994,29.371124267578125,11.900856971740723,transformer,embedding,2,567.4347405508161
27,224,0.33980464935302734,93.3581314086914,1.4046732187271118,0.001,NaN,NaN,NaN,transformer,embedding,2,570.1362972557545
28,232,0.22566518187522888,97.74176788330078,1.253156065940857,0.001,2.445403814315796,36.06731414794922,11.53520679473877,transformer,embedding,2,572.5813929960132
29,240,0.14832691848278046,98.93730163574219,1.159891963005066,0.001,NaN,NaN,NaN,transformer,embedding,2,574.7204080075026
30,248,0.09190931916236877,99.76089477539062,1.096265435218811,0.001,2.4509644508361816,37.962799072265625,11.599528312683105,transformer,embedding,2,576.5013748072088
31,256,0.05564446374773979,99.8671646118164,1.05722177028656,0.001,NaN,NaN,NaN,transformer,embedding,2,577.8597597964108
32,264,0.03522276133298874,99.94686889648438,1.0358504056930542,0.001,2.472785234451294,38.75996398925781,11.85542106628418,transformer,embedding,2,578.849658858031
33,272,0.024882733821868896,99.89373016357422,1.0251948833465576,0.001,NaN,NaN,NaN,transformer,embedding,2,579.5480144433677
34,280,0.018217939883470535,99.94686889648438,1.0183849334716797,0.001,2.504965305328369,39.00796890258789,12.243134498596191,transformer,embedding,2,580.0529057532549
35,288,0.013675033114850521,99.94686889648438,1.0137689113616943,0.001,NaN,NaN,NaN,transformer,embedding,2,580.4025331623852
36,296,0.010527596808969975,99.97343444824219,1.0105831623077393,0.001,2.531662940979004,38.937110900878906,12.5743989944458,transformer,embedding,2,580.658335391432
37,304,0.008507000282406807,100.0,1.0085432529449463,0.001,NaN,NaN,NaN,transformer,embedding,2,580.838108971715
38,312,0.007139289285987616,100.0,1.0071648359298706,0.001,2.5396440029144287,38.97254180908203,12.67515754699707,transformer,embedding,2,580.9697306901217
39,320,0.006148286163806915,100.0,1.0061671733856201,0.001,NaN,NaN,NaN,transformer,embedding,2,581.0671699903905
40,328,0.005371683277189732,100.0,1.0053861141204834,0.001,2.5561635494232178,39.06111526489258,12.886284828186035,transformer,embedding,2,581.138038802892
41,336,0.0047354623675346375,100.0,1.004746675491333,0.001,NaN,NaN,NaN,transformer,embedding,2,581.195791285485
42,344,0.004241587594151497,100.0,1.0042506456375122,0.001,2.568077325820923,39.043399810791016,13.040727615356445,transformer,embedding,2,581.244929086417
43,352,0.0037965322844684124,100.0,1.0038037300109863,0.001,NaN,NaN,NaN,transformer,embedding,2,581.2864466309547
